,season,teamName,week,team,opponent,result,owner,opponent_owner
804,2021,Peter is a nonce,3,3,Balls Galore Whorioles,179.57 - 102.43 Win,nickolai,Peter
805,2021,Peter is a nonce,4,3,The Salty Quackers,131.63 - 128.73 Win,nickolai,Ryan
806,2021,Peter is a nonce,5,3,Certified Baby Lover,244.03 - 154.13 Win,nickolai,Kevin
807,2021,Peter is a nonce,6,3,Chub Chub,122.03 - 173.77 Loss,nickolai,John
808,2021,Peter is a nonce,7,3,Hemorrhoids On the Ass,174.13 - 212.97 Loss,nickolai,zeyad
809,2021,Peter is a nonce,8,3,The Poop Store,100.80 - 182.47 Loss,nickolai,Jake
810,2021,Peter is a nonce,9,3,Krispy Cream Abdul Jabbar,137.70 - 115.17 Win,nickolai,Owen
811,2021,Peter is a nonce,10,3,Balls Galore Whorioles,116.30 - 111.37 Win,nickolai,Peter
812,2021,Peter is a nonce,11,3,The Salty Quackers,137.73 - 194.17 Loss,nickolai,Ryan
813,2021,Peter is a nonce,12,3,Certified Baby Lover,150.73 - 112.17 Win,nickolai,Kevin
814,2021,Peter is a nonce,13,3,Chub Chub,125.40 - 135.60 Loss,nickolai,John
815,2021,Peter is a nonce,14,3,Hemorrhoids On the Ass,149.23 - 188.03 Loss,nickolai,zeyad
816,2021,Peter is a nonce,15,3,The Poop Store,115.43 - 159.93 Loss,nickolai,Jake
817,2021,Peter is a nonce,16,3,Certified Baby Lover,138.43 - 117.97 Win,nickolai,Kevin
818,2021,Peter is a nonce,17,3,Krispy Cream Abdul Jabbar,158.90 - 126.84 Win,nickolai,Owen
819,2021,Chub Chub,1,4,The Salty Quackers,127.97 - 132.87 Loss,John,Ryan
820,2021,Chub Chub,2,4,Certified Baby Lover,140.60 - 215.47 Loss,John,Kevin
821,2021,Chub Chub,3,4,Krispy Cream Abdul Jabbar,105.80 - 121.53 Loss,John,Owen
822,2021,Chub Chub,4,4,Hemorrhoids On the Ass,93.43 - 137.57 Loss,John,zeyad
823,2021,Chub Chub,5,4,The Poop Store,94.86 - 129.83 Loss,John,Jake
824,2021,Chub Chub,6,4,Peter is a nonce,173.77 - 122.03 Win,John,nickolai
825,2021,Chub Chub,7,4,Balls Galore Whorioles,125.30 - 140.66 Loss,John,Peter
